,Unnamed: 0,Name,URL,name_letter
42,42,Iznik,https://www.tripadvisor.com/Restaurant_Review-g186338-d719378-Reviews-Iznik-London_England.html,iznik
43,43,The Lounge Cafe,https://www.tripadvisor.com/Restaurant_Review-g186338-d10519837-Reviews-The_Lounge_Cafe-London_England.html,theloungecafe
44,44,Cafe Amisha,https://www.tripadvisor.com/Restaurant_Review-g186338-d2009271-Reviews-Cafe_Amisha-London_England.html,cafeamisha
45,45,28-50 Wine Workshop & Kitchen South Kensington,https://www.tripadvisor.com/Restaurant_Review-g186338-d23304881-Reviews-28_50_Wine_Workshop_Kitchen_South_Kensington-London_England.html,28-50wineworkshop&kitchensouthkensington
46,46,Core by Clare Smyth,https://www.tripadvisor.com/Restaurant_Review-g186338-d12801049-Reviews-Core_by_Clare_Smyth-London_England.html,corebyclaresmyth
47,47,London Shell Co. Aboard The Prince Regent,https://www.tripadvisor.com/Restaurant_Review-g186338-d11838878-Reviews-London_Shell_Co_Aboard_The_Prince_Regent-London_England.html,londonshellco.aboardtheprinceregent
48,48,Yuu Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d11717778-Reviews-Yuu_Kitchen-London_England.html,yuukitchen
49,49,L'Angolo Bianco,https://www.tripadvisor.com/Restaurant_Review-g186338-d8566994-Reviews-L_Angolo_Bianco-London_England.html,langolobianco
50,50,Bar 61 Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d1316206-Reviews-Bar_61_Restaurant-London_England.html,bar61restaurant
51,51,Figo Leyton,https://www.tripadvisor.com/Restaurant_Review-g186338-d23451353-Reviews-Figo_Leyton-London_England.html,figoleyton
52,52,215 Hackney,https://www.tripadvisor.com/Restaurant_Review-g186338-d19067627-Reviews-215_Hackney-London_England.html,215hackney
53,53,The Golden Chippy,https://www.tripadvisor.com/Restaurant_Review-g186338-d5244301-Reviews-The_Golden_Chippy-London_England.html,thegoldenchippy
54,54,Hiba Street,https://www.tripadvisor.com/Restaurant_Review-g186338-d12069449-Reviews-Hiba_Street-London_England.html,hibastreet
55,55,Amber Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d13444942-Reviews-Amber_Restaurant-London_England.html,amberrestaurant
56,56,Indian Lounge,https://www.tripadvisor.com/Restaurant_Review-g186338-d3206568-Reviews-Indian_Lounge-London_England.html,indianlounge
57,57,The Hayden,https://www.tripadvisor.com/Restaurant_Review-g186338-d15529137-Reviews-The_Hayden-London_England.html,thehayden
58,58,The Cocktail Trading Company,https://www.tripadvisor.com/Restaurant_Review-g186338-d7605113-Reviews-The_Cocktail_Trading_Company-London_England.html,thecocktailtradingcompany
59,59,The Chelsea Corner,https://www.tripadvisor.com/Restaurant_Review-g186338-d15021904-Reviews-The_Chelsea_Corner-London_England.html,thechelseacorner
60,60,Oliveira Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d13915112-Reviews-Oliveira_Kitchen-London_England.html,oliveirakitchen
61,61,The Banc,https://www.tripadvisor.com/Restaurant_Review-g186338-d3419712-Reviews-The_Banc-London_England.html,thebanc
62,62,The Jasmine by Spice Nouv-Oh!,https://www.tripadvisor.com/Restaurant_Review-g186338-d6885893-Reviews-The_Jasmine_by_Spice_Nouv_Oh-London_England.html,thejasminebyspicenouv-oh!
63,63,Sanjugo London,https://www.tripadvisor.com/Restaurant_Review-g186338-d11663967-Reviews-Sanjugo_London-London_England.html,sanjugolondon
64,64,Standard Balti House - Bricklanes Finest,https://www.tripadvisor.com/Restaurant_Review-g186338-d720607-Reviews-Standard_Balti_House_Bricklanes_Finest-London_England.html,standardbaltihouse-bricklanesfinest
65,65,Zeret Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d1748899-Reviews-Zeret_Kitchen-London_England.html,zeretkitchen
66,66,Tower Tandoori,https://www.tripadvisor.com/Restaurant_Review-g186338-d815603-Reviews-Tower_Tandoori-London_England.html,towertandoori
67,67,The Spice Indian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d2507902-Reviews-The_Spice_Indian_Restaurant-London_England.html,thespiceindianrestaurant
68,68,Terra Rossa,https://www.tripadvisor.com/Restaurant_Review-g186338-d15345285-Reviews-Terra_Rossa-London_England.html,terrarossa
69,69,Bengal Village - Best of Brick Lane,https://www.tripadvisor.com/Restaurant_Review-g186338-d1964861-Reviews-Bengal_Village_Best_of_Brick_Lane-London_England.html,bengalvillage-bestofbricklane
70,70,Richard's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d13325769-Reviews-Richard_s_Kitchen-London_England.html,richardskitchen
71,71,Magic Falafel,https://www.tripadvisor.com/Restaurant_Review-g186338-d10701915-Reviews-Magic_Falafel-London_England.html,magicfalafel
